,id,comment,sentiment
0,1,websitenya sangat jelek dan tidak berguna,1
1,2,website apa ini sangat jelek dan tidak berguna,1
2,3,website apa ini sangat jelek dan tidak berguna,1
3,4,website apa ini sangat jelek dan tidak berguna,1
4,5,website apa ini sangat jelek dan tidak berguna,1
5,6,website apa ini sangat jelek dan tidak berguna,1
6,7,good,5
7,8,good,5
8,9,sa,3
9,10,sa,3
10,11,sa,3
11,12,sa,3
12,13,sa,3
13,14,sa,3
14,15,sa,3
15,16,sa,3
16,17,sa,3
17,18,sa,3
18,19,sa,3
19,20,sa,3
20,21,sa,3
21,22,sa,3
22,23,sa,3
23,24,sa,3
24,25,sa,3
25,26,sa,3
26,27,sa,3
27,28,sa,3
28,29,sa,3
29,30,sa,3
30,31,sa,3
31,32,sa,3
32,33,sa,3
33,34,sa,3
34,35,sa,3
35,36,sa,3
36,37,sa,3
37,38,sa,3
38,39,sa,3
39,40,sa,3
40,41,sa,3
41,42,sa,3
42,43,sa,3
43,44,sa,3
44,45,sa,3
45,46,sa,3
46,47,sa,3
47,48,sa,3
48,49,sa,3
49,50,sa,3
50,51,sa,3
51,52,sa,3
52,53,sa,3
53,54,sa,3
54,55,sa,3
55,56,sa,3
56,57,sa,3
57,58,sa,3
58,59,sa,3
59,60,sa,3
60,61,sa,3
61,62,sa,3
62,63,sa,3
63,64,sa,3
64,65,sa,3
65,66,sa,3
66,67,sa,3
67,68,sa,3
68,69,sa,3
69,70,sa,3
70,71,sa,3
71,72,sa,3
72,73,sa,3
73,74,aplikasinya sangat bagus,5
74,75,aplikasinya sangat bagus,5
75,76,good,5
76,77,good,5
77,78,good,5
78,79,jelek,1
79,80,jelek,1
